experiment_name, lr, init_std, l2_reg, num_train, batch_size, bond_dim, num_epochs, num_test, dynamic_mode, periodic_bc, loss, train_acc, test_acc
FULL_RANDOM, 4.6881326582578005e-05, 6.237070307222175e-07, 3.0843584325170167e-06, 1000, 100, 15, 10, 5000, 0, 0, 1.7905513048171997, 0.326, 0.3556
FULL_RANDOM, 2.0154741852290886e-07, 0.06334344701282536, 0.016895751942221378, 1000, 100, 15, 10, 5000, 1, 1, 2.3025851249694824, 0.097, 0.09359999999999997
FULL_RANDOM, 3.152463737657817e-06, 0.00021545851500460105, 0.0014538756795917118, 1000, 100, 15, 10, 5000, 1, 1, 2.3025784492492676, 0.11599999999999999, 0.11419999999999997
FULL_RANDOM, 0.009865012711261957, 0.007438408781371667, 0.00015296113712598997, 1000, 100, 15, 10, 5000, 1, 1, 2.6285386085510254, 0.17300000000000001, 0.14939999999999995
FULL_RANDOM, 0.8109615294817735, 3.1343292022667454e-08, 6.26410669637278e-09, 1000, 100, 15, 10, 5000, 0, 1, -1, -1, -1
FULL_RANDOM, 5.925026304215152e-06, 6.922841037388162e-13, 0.09425343695514353, 1000, 100, 15, 10, 5000, 0, 1, 2.2948596477508545, 0.11599999999999999, 0.11419999999999997
FULL_RANDOM, 0.7072860110255715, 3.007776246252095e-15, 2.47218520504747e-06, 1000, 100, 15, 10, 5000, 1, 1, 2.3025827407836914, 0.097, 0.09199999999999997
FULL_RANDOM, 1.3632009908481416e-06, 11.895091973179431, 2.7815478549961638e-05, 1000, 100, 15, 10, 5000, 1, 1, 2.302582263946533, 0.11599999999999999, 0.11419999999999997
FULL_RANDOM, 0.34390612771589363, 5.770221539926475e-08, 1.213788341615726e-06, 1000, 100, 15, 10, 5000, 1, 1, 2.3025827407836914, 0.097, 0.09199999999999997
FULL_RANDOM, 1.8627278091067329e-06, 0.09223515870160698, 5.814232920271903e-06, 1000, 100, 15, 10, 5000, 0, 1, 2.302152633666992, 0.11599999999999999, 0.11419999999999997
FULL_RANDOM, 4.1549679230247615e-07, 0.5293873652256746, 5.271745767131677e-06, 1000, 100, 15, 10, 5000, 1, 1, 2.302584409713745, 0.11599999999999999, 0.11059999999999998
OPEN_BC, 4.2310151125044594e-08, 0.010985354586151772, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.3025827407836914, 0.11599999999999999, 0.11419999999999997
OPEN_BC, 1.7230572040476795e-06, 1.2170155924997755e-08, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.3024959564208984, 0.11599999999999999, 0.11419999999999997
OPEN_BC, 1.1262949689429061e-05, 0.11506888077467507, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.15871262550354, 0.11599999999999999, 0.11419999999999997
OPEN_BC, 0.03593393401591952, 0.006564072347086166, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 9.640821855242823e+23, 0.06699999999999999, 0.06659999999999999
OPEN_BC, 0.6680799788299556, 7.85026998417187e-06, 0.0, 1000, 100, 15, 10, 5000, 0, 0, -1, -1, -1
OPEN_BC, 1.1396086832030526e-08, 3.5356864601033136e-11, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.3025827407836914, 0.10499999999999998, 0.114
OPEN_BC, 4.705759668161858e-06, 2.9214558420035978e-06, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.279057264328003, 0.11599999999999999, 0.11419999999999997
OPEN_BC, 4.9461398654010776e-05, 1.0683177509297587e-08, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 1.7603392601013184, 0.38500000000000006, 0.35440000000000005
OPEN_BC, 0.0035837147895819415, 0.06644728115589557, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.2994210720062256, 0.16799999999999998, 0.14460000000000003
OPEN_BC, 4.04713137495395e-06, 3.4384360365877814e-06, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.294152021408081, 0.11599999999999999, 0.11419999999999997
OPEN_BC, 9.823418654544914e-06, 0.30862906917765826, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.176480293273926, 0.11599999999999999, 0.11419999999999997
OPEN_BC, 0.001284166072586615, 1.4061132902138257e-08, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 0.9450063705444336, 0.7669999999999999, 0.6794
OPEN_BC, 2.836175100024814e-07, 0.45061628708232937, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.302584171295166, 0.11599999999999999, 0.11419999999999997
